カテゴリ,機能グループ,機能項目,詳細内容,工数(人日)
共通機能,認証・ログイン,ログイン画面,メール/パスワード認証実装,3
共通機能,認証・ログイン,パスワードリセット,メール送信・トークン管理,2
共通機能,認証・ログイン,セッション管理,JWT/Cookie実装,2
共通機能,認証・ログイン,ロール別リダイレクト,権限別の遷移制御,1
共通機能,共通UI,レスポンシブデザイン,モバイル・タブレット対応,3
共通機能,共通UI,ローディング表示,スピナー・プログレスバー,1
共通機能,共通UI,エラー・成功表示,トースト・モーダル実装,1
共通機能,共通UI,共通レイアウト,ヘッダー・サイドバー・フッター,2
クライアント管理機能,データ表示機能,階層表示,ツリー構造UI実装,5
クライアント管理機能,データ表示機能,テーブル表示,データグリッド実装,4
クライアント管理機能,データ表示機能,表示切替機能,階層/テーブル切替,1
クライアント管理機能,データ表示機能,ページネーション,データ分割表示,2
クライアント管理機能,検索・フィルタリング,全文検索,複数フィールド検索実装,3
クライアント管理機能,検索・フィルタリング,フィルターUI,フィルター選択コンポーネント,3
クライアント管理機能,検索・フィルタリング,複合条件フィルター,AND/OR条件処理,2
クライアント管理機能,検索・フィルタリング,フィルター保存,検索条件の保存・呼出,2
クライアント管理機能,ソート機能,基本ソート,文字列・数値・日付ソート,2
クライアント管理機能,ソート機能,複合ソート,多段階ソート実装,2
クライアント管理機能,ソート機能,カスタムソート,優先順位・ロケール対応,3
クライアント管理機能,ソート機能,ソート状態管理,昇順/降順切替・リセット,1
クライアント管理機能,データエクスポート,CSVエクスポート,UTF-8 BOM付きCSV生成,2
クライアント管理機能,データエクスポート,Excelエクスポート,xlsx形式出力,3
クライアント管理機能,データエクスポート,PDFエクスポート,帳票形式PDF生成,4
クライアント管理機能,データエクスポート,カスタムエクスポート,項目選択・フォーマット設定,3
クライアント管理機能,代理ログイン機能,代理ログイン実行,セッション切替処理,3
クライアント管理機能,代理ログイン機能,確認ダイアログ,実行前確認UI,1
クライアント管理機能,代理ログイン機能,セッション管理,代理ログインセッション制御,2
クライアント管理機能,代理ログイン機能,監査ログ,代理ログイン履歴記録,2
組織・会社管理機能,基本情報管理,組織情報編集,基本情報CRUD,3
組織・会社管理機能,基本情報管理,会社情報編集,会社/プロジェクト管理,3
組織・会社管理機能,基本情報管理,ステータス管理,アクティブ/非アクティブ制御,2
組織・会社管理機能,基本情報管理,組織タイプ設定,代理店/直接クライアント設定,2
組織・会社管理機能,契約・プラン管理,契約期間設定,開始日・終了日管理,2
組織・会社管理機能,契約・プラン管理,契約ステータス,自動ステータス判定,2
組織・会社管理機能,契約・プラン管理,プラン設定,サブスクリプションプラン管理,3
組織・会社管理機能,契約・プラン管理,プラン変更履歴,変更履歴の記録・表示,2
組織・会社管理機能,リソース管理,サイト管理,サイト情報CRUD,3
組織・会社管理機能,リソース管理,ポイント管理,ポイント割当・使用管理,3
組織・会社管理機能,リソース管理,使用率監視,リアルタイム使用率計算,2
組織・会社管理機能,リソース管理,アラート機能,しきい値超過通知,3
ユーザー管理機能,ユーザー情報管理,ユーザー一覧,ユーザーリスト表示,2
ユーザー管理機能,ユーザー情報管理,ユーザー詳細,詳細情報表示・編集,3
ユーザー管理機能,ユーザー情報管理,ユーザー追加,新規ユーザー登録,2
ユーザー管理機能,ユーザー情報管理,ユーザー削除,論理削除・物理削除,2
ユーザー管理機能,権限管理,ロール管理,5種類のロール定義,3
ユーザー管理機能,権限管理,権限設定,機能別アクセス制御,4
ユーザー管理機能,権限管理,権限継承,階層的権限管理,3
ユーザー管理機能,権限管理,権限監査,アクセスログ記録,2
ユーザー管理機能,アクティビティ管理,ログイン履歴,最終ログイン日時記録,1
ユーザー管理機能,アクティビティ管理,操作履歴,ユーザー操作ログ,2
ユーザー管理機能,アクティビティ管理,利用統計,月次ログイン数・記事数,3
ユーザー管理機能,アクティビティ管理,クレジット管理,残高管理・履歴,3
モーダル・ダイアログ,編集モーダル,会社編集モーダル,基本情報編集UI,2
モーダル・ダイアログ,編集モーダル,プラン設定モーダル,プラン選択・変更UI,2
モーダル・ダイアログ,編集モーダル,契約期間モーダル,日付選択・バリデーション,2
モーダル・ダイアログ,編集モーダル,ユーザー編集モーダル,ユーザー情報編集UI,2
モーダル・ダイアログ,確認ダイアログ,削除確認,削除前確認ダイアログ,1
モーダル・ダイアログ,確認ダイアログ,変更確認,重要変更の確認,1
モーダル・ダイアログ,確認ダイアログ,警告表示,注意事項の表示,1
バックエンド（API）,認証系API,ログインAPI,認証処理・トークン発行,2
バックエンド（API）,認証系API,ログアウトAPI,セッション破棄,1
バックエンド（API）,認証系API,トークン管理API,リフレッシュ・検証,2
バックエンド（API）,認証系API,権限確認API,ロールベース認可,2
バックエンド（API）,クライアント管理API,組織CRUD API,組織情報の作成・読取・更新・削除,4
バックエンド（API）,クライアント管理API,会社CRUD API,会社情報管理,4
バックエンド（API）,クライアント管理API,サイトCRUD API,サイト情報管理,3
バックエンド（API）,クライアント管理API,ユーザーCRUD API,ユーザー情報管理,4
バックエンド（API）,データ取得API,階層データAPI,ツリー構造データ取得,3
バックエンド（API）,データ取得API,一覧取得API,ページング・ソート対応,3
バックエンド（API）,データ取得API,検索API,全文検索実装,3
バックエンド（API）,データ取得API,フィルターAPI,複合条件フィルタリング,3
バックエンド（API）,業務処理API,代理ログインAPI,セッション生成・切替,3
バックエンド（API）,業務処理API,使用率計算API,リアルタイム集計,2
バックエンド（API）,業務処理API,契約管理API,ステータス更新・通知,3
バックエンド（API）,業務処理API,エクスポートAPI,CSV/Excel/PDF生成,4
バックエンド（API）,共通処理,エラーハンドリング,統一エラー処理,2
バックエンド（API）,共通処理,バリデーション,入力値検証,2
バックエンド（API）,共通処理,キャッシュ処理,Redis実装,3
バックエンド（API）,共通処理,ロギング,アクセスログ・エラーログ,2
データベース設計,テーブル設計,ERD作成,論理・物理設計,3
データベース設計,テーブル設計,マスタテーブル,組織・会社・サイト・ユーザー,2
データベース設計,テーブル設計,トランザクション,セッション・ログ,2
データベース設計,テーブル設計,インデックス設計,パフォーマンス最適化,2
データベース設計,マイグレーション,初期マイグレーション,テーブル作成,2
データベース設計,マイグレーション,シードデータ,テストデータ投入,1
データベース設計,マイグレーション,バージョン管理,マイグレーション管理,1
インフラ・環境構築,開発環境,Docker環境構築,コンテナ設定,2
インフラ・環境構築,開発環境,開発環境設定,環境変数・設定ファイル,1
インフラ・環境構築,開発環境,ステージング環境,テスト環境構築,2
インフラ・環境構築,デプロイ設定,CI/CD設定,GitHub Actions設定,3
インフラ・環境構築,デプロイ設定,本番環境構築,Vercel/Netlifyデプロイ,2
インフラ・環境構築,デプロイ設定,ドメイン設定,DNS・SSL設定,1
インフラ・環境構築,監視・運用,監視設定,アラート・メトリクス,2
インフラ・環境構築,監視・運用,バックアップ設定,自動バックアップ,2
インフラ・環境構築,監視・運用,ログ管理,ログ収集・分析,2
テスト,単体テスト,フロントエンド,Componentテスト,5
テスト,単体テスト,API単体テスト,エンドポイントテスト,5
テスト,単体テスト,ユーティリティ,関数テスト,2
テスト,統合テスト,E2Eテスト,画面遷移テスト,5
テスト,統合テスト,API結合テスト,複数API連携テスト,3
テスト,統合テスト,パフォーマンステスト,負荷テスト,3
テスト,受入テスト,UAT準備,テストケース作成,3
テスト,受入テスト,UAT実施支援,バグ修正・調整,5
ドキュメント作成,ドキュメント作成,要件定義書,機能要件・非機能要件,3
ドキュメント作成,ドキュメント作成,設計書,基本設計・詳細設計,5
ドキュメント作成,ドキュメント作成,API仕様書,OpenAPI/Swagger,3
ドキュメント作成,ドキュメント作成,運用マニュアル,管理者向けマニュアル,3
ドキュメント作成,ドキュメント作成,ユーザーマニュアル,エンドユーザー向け,3
